fecha,mes,dia_semana,hora,tipo,rango_londres,ratio_mecha_sweep,distancia_sl,resultado
2023-09-01 09:20,9,4,9,0,5.56,0.645,3.45,0
2023-09-04 09:45,9,0,9,1,5.4,0.664,1.78,0
2023-09-06 09:30,9,2,9,1,5.035,0.599,2.507,1
2023-09-07 09:30,9,3,9,0,5.587,0.717,4.28,0
2023-09-08 09:25,9,4,9,1,3.343,0.43,2.2,1
2023-09-11 10:15,9,0,10,1,6.03,0.242,1.91,0
2023-09-12 09:15,9,1,9,1,10.301,0.556,1.99,1
2023-09-13 10:20,9,2,10,0,3.773,0.693,5.03,1
2023-09-14 10:20,9,3,10,1,4.007,0.5,3.577,1
2023-09-18 13:55,9,0,13,0,4.06,0.558,1.527,0
2023-09-19 13:20,9,1,13,1,6.297,0.336,1.39,0
2023-09-21 10:05,9,3,10,1,9.44,0.1,5.887,1
2023-09-28 10:00,9,3,10,1,4.58,0.357,3.71,0
2023-09-29 09:35,9,4,9,0,6.43,0.935,7.12,1
2023-10-05 09:20,10,3,9,1,4.28,0.467,3.013,1
2023-10-06 10:00,10,4,10,1,6.5,0.606,7.71,1
2023-10-09 09:40,10,0,9,1,4.927,0.49,3.81,1
2023-10-10 09:55,10,1,9,1,4.96,0.756,4.62,1
2023-10-12 10:05,10,3,10,1,5.83,0.367,3.46,0
2023-10-13 09:10,10,4,9,0,23.154,0.988,3.409,0
2023-10-16 09:30,10,0,9,0,10.17,0.883,2.95,1
2023-10-17 10:30,10,1,10,0,9.453,0.507,5.599,0
2023-10-18 10:00,10,2,10,0,13.68,0.976,7.44,1
2023-10-19 09:10,10,3,9,0,6.82,0.251,3.123,0
2023-10-23 10:15,10,0,10,1,8.31,0.783,5.43,0
2023-10-24 14:30,10,1,14,0,25.701,0.944,4.59,1
2023-10-26 09:25,10,3,9,1,11.021,0.261,3.04,0
2023-10-27 14:40,10,4,14,0,9.123,0.148,5.053,0
2023-10-30 09:25,10,0,9,0,9.13,0.904,4.27,1
2023-10-31 09:55,10,1,9,0,6.897,0.585,8.939,1
2023-11-01 09:50,11,2,9,0,11.45,0.488,4.523,1
2023-11-02 09:40,11,3,9,1,6.567,0.114,4.1,0
2023-11-07 14:05,11,1,14,0,13.04,0.976,1.453,0
2023-11-13 10:05,11,0,10,1,6.027,0.843,3.86,1
2023-11-14 10:45,11,1,10,0,3.84,0.325,5.89,0
2023-11-15 10:45,11,2,10,1,4.29,0.911,8.133,1
2023-11-17 10:35,11,4,10,1,8.777,0.143,4.28,0
2023-11-20 10:25,11,0,10,1,9.94,0.246,3.95,1
2023-11-22 09:35,11,2,9,1,7.303,0.227,2.54,0
2023-11-24 09:45,11,4,9,0,4.904,0.815,3.453,0
2023-11-28 10:10,11,1,10,0,4.22,0.671,4.78,0
2023-11-29 10:05,11,2,10,0,8.78,0.297,4.81,0
2023-11-30 10:30,11,3,10,1,9.713,0.55,6.12,1
2023-12-04 09:45,12,0,9,1,18.363,0.934,6.75,0
2023-12-07 09:40,12,3,9,0,6.28,0.532,6.49,1
2023-12-08 09:50,12,4,9,1,5.87,0.648,7.06,0
2023-12-13 10:40,12,2,10,1,5.0,0.973,2.763,1
2023-12-14 10:25,12,3,10,0,8.3,0.93,5.53,1
2023-12-15 10:10,12,4,10,1,7.991,0.117,5.73,0
2023-12-18 14:50,12,0,14,0,8.557,0.124,1.5,0
2023-12-19 10:40,12,1,10,0,7.087,0.36,5.76,0
2023-12-21 10:00,12,3,10,0,6.43,0.064,5.91,0
2023-12-22 10:15,12,4,10,0,16.45,0.601,3.36,1
2023-12-26 09:10,12,1,9,1,4.1,0.647,1.78,0
2023-12-29 09:15,12,4,9,1,11.587,0.838,3.03,0
2022-01-05 10:15,1,2,10,0,7.426,0.66,5.81,1
2022-01-07 10:10,1,4,10,0,6.14,0.382,4.97,0
2022-01-10 09:30,1,0,9,1,10.86,0.62,4.19,1
2022-01-11 10:00,1,1,10,1,5.893,0.134,6.267,1
2022-01-12 09:55,1,2,9,0,5.32,0.751,2.79,0
2022-01-18 09:40,1,1,9,0,8.06,0.117,6.65,0
2022-01-20 09:30,1,3,9,0,6.21,0.208,3.33,0
2022-01-21 09:30,1,4,9,0,10.554,0.138,2.8,1
2022-01-24 10:45,1,0,10,1,7.87,0.588,4.626,1
2022-01-26 10:15,1,2,10,1,5.16,0.885,7.07,0
2022-01-27 09:30,1,3,9,1,12.116,0.387,6.114,1
2022-01-31 10:00,1,0,10,0,6.62,0.641,5.52,0
2022-02-01 10:30,2,1,10,1,6.437,0.474,6.194,0
2022-02-04 09:40,2,4,9,1,8.32,0.544,12.867,1
2022-02-07 09:30,2,0,9,0,5.026,0.448,2.31,0
2022-02-08 09:30,2,1,9,0,3.91,0.682,4.07,0
2022-02-09 09:40,2,2,9,1,6.89,0.306,3.649,1
2022-02-10 09:35,2,3,9,1,4.47,0.678,5.58,1
2022-02-14 09:25,2,0,9,0,7.19,0.684,2.5,0
2022-02-17 10:30,2,3,10,0,17.962,0.029,3.25,0
2022-02-18 09:50,2,4,9,0,9.25,0.22,4.53,1
2022-02-23 09:20,2,2,9,0,8.44,0.016,1.65,0
2022-02-25 10:35,2,4,10,1,22.945,0.979,6.46,1
2022-02-28 09:30,2,0,9,0,19.92,0.267,8.325,0
2022-03-01 10:15,3,1,10,0,19.163,0.676,8.58,0
2022-03-04 09:55,3,4,9,0,15.941,0.169,7.697,0
2022-03-07 09:25,3,0,9,1,20.88,0.101,7.49,1
2022-03-09 09:15,3,2,9,1,48.53,0.096,18.34,0
2022-03-14 10:15,3,0,10,1,18.714,0.562,4.983,0
2022-03-15 09:45,3,1,9,1,15.976,0.187,8.48,1
2022-03-16 10:25,3,2,10,1,15.365,0.167,9.83,0
2022-03-17 10:30,3,3,10,0,12.18,0.687,2.339,1
2022-03-21 09:45,3,0,9,0,7.305,0.745,4.412,0
2022-03-22 09:50,3,1,9,1,10.689,0.744,5.08,1
2022-03-24 10:25,3,3,10,0,20.026,0.443,5.21,0
2022-03-28 10:55,3,0,10,0,11.371,0.429,8.109,1
2022-03-29 09:45,3,1,9,1,23.6,0.181,6.835,1
2022-03-30 10:10,3,2,10,0,9.07,0.228,4.525,0
2022-03-31 09:55,3,3,9,0,11.38,0.313,4.845,0
2022-04-01 09:30,4,4,9,1,12.241,0.253,5.01,0
2022-04-04 09:50,4,0,9,0,7.475,0.225,7.96,1
2022-04-05 10:05,4,1,10,0,8.08,0.877,5.205,1
2022-04-06 14:50,4,2,14,1,18.31,0.1,6.196,1
2022-04-11 09:45,4,0,9,0,20.73,0.45,9.53,1
2022-04-12 09:35,4,1,9,0,9.89,0.545,6.29,0
2022-04-13 09:40,4,2,9,0,14.519,0.313,4.709,0
2022-04-14 10:20,4,3,10,1,12.35,0.359,6.3,1
2022-04-18 09:30,4,0,9,0,6.1,0.202,5.514,1
2022-04-19 09:35,4,1,9,1,6.994,0.758,7.324,0
2022-04-20 13:50,4,2,13,0,14.986,0.397,2.83,0
2022-04-26 09:55,4,1,9,0,13.915,0.706,7.182,1
2022-04-27 10:30,4,2,10,1,16.98,0.091,8.41,0
2022-04-29 10:40,4,4,10,1,9.89,0.057,10.41,0
2022-05-02 09:20,5,0,9,1,14.085,0.595,4.815,0
2022-05-04 10:45,5,2,10,1,6.16,0.747,4.19,1
2022-05-05 09:15,5,3,9,0,10.785,0.666,5.625,1
2022-05-06 10:30,5,4,10,0,12.502,0.407,3.57,0
2022-05-13 09:25,5,4,9,1,15.87,0.098,5.815,1
2022-05-17 10:25,5,1,10,1,12.74,0.069,4.27,0
2022-05-19 09:30,5,3,9,0,21.46,0.597,7.06,0
2022-05-20 10:45,5,4,10,1,8.346,0.244,7.116,1
2022-05-24 09:20,5,1,9,0,9.37,0.62,3.4,0
2022-05-26 10:35,5,3,10,0,9.9,0.551,4.07,0
2022-05-27 10:30,5,4,10,1,7.94,0.296,3.05,0
2022-06-01 09:40,6,2,9,0,8.704,0.95,3.954,0
2022-06-03 09:10,6,4,9,1,4.53,0.543,2.79,0
2022-06-06 10:50,6,0,10,1,4.97,0.227,2.42,0
2022-06-07 10:20,6,1,10,0,10.44,0.295,3.895,0
2022-06-08 09:45,6,2,9,0,6.3,0.556,4.07,0
2022-06-09 10:30,6,3,10,1,7.905,0.414,2.938,0
2022-06-10 09:55,6,4,9,1,15.465,0.546,5.54,1
2022-06-14 10:35,6,1,10,1,15.53,0.57,4.51,0
2022-06-15 13:50,6,2,13,1,18.1,0.303,4.31,0
2022-06-16 13:10,6,3,13,0,21.18,0.662,2.655,0
2022-06-17 10:35,6,4,10,1,10.555,0.711,5.465,0
2022-06-20 10:45,6,0,10,1,7.785,0.638,2.809,0
2022-06-22 09:20,6,2,9,0,19.64,0.373,3.764,1
2022-06-23 10:15,6,3,10,0,14.21,0.346,4.952,1
2022-06-29 09:10,6,2,9,0,15.27,0.467,2.595,1
2022-06-30 10:05,6,3,10,0,14.92,0.468,7.796,1
2022-07-07 09:35,7,3,9,1,5.37,0.519,6.486,1
2022-07-08 09:45,7,4,9,0,10.15,0.421,5.96,0
2022-07-11 10:15,7,0,10,0,7.094,0.505,4.162,1
2022-07-12 10:45,7,1,10,1,7.9,0.525,4.2,0
2022-07-13 09:35,7,2,9,1,7.86,0.784,10.859,1
2022-07-14 10:40,7,3,10,1,11.446,0.476,11.086,1
2022-07-15 09:35,7,4,9,0,6.721,0.316,8.986,1
2022-07-21 09:20,7,3,9,0,12.698,0.307,8.549,0
2022-07-22 10:20,7,4,10,0,15.145,0.178,6.395,1
2022-07-27 10:45,7,2,10,1,7.392,0.714,3.42,1
2022-07-28 09:50,7,3,9,0,10.703,0.262,6.819,0
2022-07-29 09:25,7,4,9,1,11.35,0.409,4.12,0
2022-09-01 09:50,9,3,9,1,8.726,0.896,4.586,0
2022-09-05 14:20,9,0,14,1,7.528,0.702,1.22,0
2022-09-06 09:40,9,1,9,1,9.455,0.839,4.71,0
2022-09-08 09:40,9,3,9,1,12.007,0.556,6.28,0
2022-09-09 10:00,9,4,10,1,9.69,0.888,4.872,1
2022-09-13 09:30,9,1,9,1,9.547,0.503,7.021,0
2022-09-14 09:15,9,2,9,0,7.281,0.259,2.984,1
2022-09-15 09:45,9,3,9,1,7.24,0.309,8.026,0
2022-09-20 09:55,9,1,9,1,9.777,0.53,5.43,1
2022-09-22 09:15,9,3,9,0,22.489,0.068,4.832,1
2022-09-26 14:00,9,0,14,1,13.523,0.096,4.353,0
2022-09-27 13:45,9,1,13,1,10.016,0.393,3.238,0
2022-09-28 10:15,9,2,10,0,16.784,0.861,5.465,0
2022-09-29 09:40,9,3,9,0,10.606,0.351,7.673,1
2022-09-30 09:30,9,4,9,1,11.617,0.976,7.54,1
2022-10-04 09:20,10,1,9,0,12.006,0.808,4.04,0
2022-10-05 10:30,10,2,10,1,21.839,0.12,5.696,1
2022-10-06 09:35,10,3,9,1,14.666,0.519,5.88,0
2022-10-07 09:10,10,4,9,1,8.636,0.992,7.884,0
2022-10-12 14:45,10,2,14,0,6.752,0.226,5.047,1
2022-10-13 10:45,10,3,10,1,15.428,0.767,8.63,0
2022-10-14 10:30,10,4,10,1,20.207,0.279,6.16,0
2022-10-17 10:05,10,0,10,0,10.913,0.914,5.54,1
2022-10-19 10:10,10,2,10,1,15.17,0.529,3.921,1
2022-10-21 10:15,10,4,10,0,10.831,0.051,4.65,0
2022-10-25 10:20,10,1,10,0,12.65,0.552,8.019,0
2022-10-26 09:35,10,2,9,1,10.23,0.763,4.69,1
2022-10-28 10:45,10,4,10,1,11.49,0.645,2.171,0
2022-11-01 09:30,11,1,9,1,11.82,0.198,6.22,1
2022-11-03 10:30,11,3,10,0,13.38,0.525,4.42,0
2022-11-04 10:25,11,4,10,0,19.8,0.28,5.02,0
2022-11-07 10:15,11,0,10,0,13.431,0.934,4.28,1
2022-11-09 10:25,11,2,10,0,11.911,0.874,10.27,1
2022-11-11 13:30,11,4,13,0,11.56,0.661,2.53,0
2022-11-16 10:30,11,2,10,1,9.22,0.207,4.04,0
2022-11-17 10:05,11,3,10,1,12.059,0.852,6.02,1
2022-11-18 10:10,11,4,10,1,9.601,0.084,4.137,0
2022-11-21 09:35,11,0,9,0,7.19,0.346,4.74,1
2022-11-22 09:25,11,1,9,1,7.76,0.279,2.281,0
2022-11-24 14:10,11,3,14,1,6.16,0.542,0.931,0
2022-11-25 09:25,11,4,9,1,5.089,0.481,2.59,1
2022-11-29 09:50,11,1,9,1,6.821,0.814,5.831,1
2022-12-01 10:10,12,3,10,0,11.131,0.08,4.97,0
2022-12-02 09:20,12,4,9,1,5.9,0.914,4.529,0
2022-12-06 14:15,12,1,14,1,11.59,0.03,2.52,1
2022-12-07 09:55,12,2,9,0,5.13,0.365,4.6,0
2022-12-13 10:25,12,1,10,0,7.557,0.887,10.193,1
2022-12-14 09:55,12,2,9,0,5.997,0.457,1.99,0
2022-12-16 10:30,12,4,10,0,11.643,0.054,6.313,0
